Industry_name_NZSIOC,Total_Value
All industries,4164
"Agriculture, Forestry and Fishing",14694
Horticulture and Fruit Growing,51288
"Sheep, Beef Cattle and Grain Farming",53996
Dairy Cattle Farming,28250
"Poultry, Deer and Other Livestock Farming",51408
Forestry and Logging,35550
Fishing and Aquaculture,47219
"Agriculture, Forestry and Fishing Support Services and Hunting",20633
Mining,33354
Manufacturing,19339
Beverage and Tobacco Product Manufacturing,52754
"Textile, Leather, Clothing and Footwear Manufacturing",47648
Textile and Leather Manufacturing,38664
"Clothing, Knitted Products and Footwear Manufacturing",35089
Wood Product Manufacturing,71930
"Pulp, Paper and Converted Paper Product Manufacturing",59618
Printing,97074
Petroleum and Coal Product Manufacturing,35226
Basic Chemical and Chemical Product Manufacturing,50489
Basic Chemical and Basic Polymer Manufacturing,34958
Fertiliser and Pesticide Manufacturing,27795
"Pharmaceutical, Cleaning and Other Chemical Manufacturing",48840
Polymer Product and Rubber Product Manufacturing,92042
Non-Metallic Mineral Product Manufacturing,91728
Primary Metal and Metal Product Manufacturing,67770
Fabricated Metal Product Manufacturing,97200
Transport Equipment Manufacturing,89206
Machinery and Other Equipment Manufacturing,44635
Electronic and Electrical Equipment Manufacturing,41507
Machinery Manufacturing,44588
Furniture and Other Manufacturing,42806
Furniture Manufacturing,45845
Other Manufacturing,46236
"Electricity, Gas, Water and Waste Services",21649
Electricity and Gas Supply,26687
"Water, Sewerage, Drainage and Waste Services",32283
Construction,25139
Building Construction,21417
Residential Building Construction,24583
Non-Residential Building Construction,34749
Heavy and Civil Engineering Construction,54444
Construction Services,46434
Wholesale Trade,34334
Basic Material Wholesaling,18906
Machinery and Equipment Wholesaling,22314
Motor Vehicle and Motor Vehicle Parts Wholesaling,37326
"Grocery, Liquor and Tobacco Product Wholesaling",20835
Other Goods Wholesaling,23065
Commission Based Wholesaling,50375
Retail Trade and Accommodation,19703
Motor Vehicle and Motor Vehicle Parts and Fuel Retailing,36910
"Supermarket, Grocery Stores and Specialised Food Retailing",29885
Other Store-Based Retailing and Non Store Retailing,22578
"Furniture, Electrical and Hardware Retailing",31464
"Recreational, Clothing, Footwear and Personal Accessory Retailing",35455
Department Stores,51632
Pharmaceutical and Other Store Based Retailing,57168
Non-Store and Commission Based Retailing,47018
Accommodation and Food Services,26906
Accommodation,32218
Food and Beverage Services,25201
"Transport, Postal and Warehousing",37360
Road Transport,62430
"Rail, Water, Air and Other Transport",19283
"Postal, Courier, Transport Support, and Warehousing Services",27217
Postal and Courier Pick Up and Delivery Services,27817
Transport Support Services,22024
Warehousing and Storage Services,36934
Information Media and Telecommunications,22291
Information Media Services,26067
"Telecommunications, Internet and Library Services",15570
Financial and Insurance Services,17262
Finance,10986
Banking and Financing,15665
Financial Asset Investing,10355
Insurance,27572
Life Insurance,23163
Health and General Insurance,17175
Auxiliary Finance and Insurance Services,26800
"Rental, Hiring and Real Estate Services",13864
Rental and Hiring Services (except Real Estate),62811
Non-Financial Asset Leasing,36098
Property Operators and Real Estate Services,19988
Non-Residential Property Operation,24162
Real Estate Services,35437
"Professional, Scientific, Technical, Administrative and Support Services",38484
"Professional, Scientific and Technical Services",42804
"Scientific, Architectural and Engineering Services",30832
Legal and Accounting Services,29610
"Advertising, Market Research and Management Services",33011
Veterinary and Other Professional Services,44993
Computer System Design and Related Services,27344
Administrative and Support Services,28201
Travel Agency and Tour Arrangement Services,55172
Employment and Other Administrative Services,23074
"Building Cleaning, Pest Control and Other Support Services",41199
"Public Order, Safety and Regulatory Services",122840
Education and Training,21422
Preschool Education,47814
School Education,36353
Tertiary Education,55543
"Adult, Community and Other Education",38571
Health Care and Social Assistance,25614
Hospitals,42765
Medical and Other Health Care Services,19077
Residential Care Services and Social Assistance,21881
"Arts, Recreation and Other Services",37491
Arts and Recreation Services,37075
Heritage and Artistic Activities,32610
Sport and Recreation Activities,38932
Gambling Activities,29941
Other Services,35266
Repair and Maintenance,37329
"Personal Care, Funeral and Other Personal Services",50417
"Civil, Professional and Other Interest Groups",33524
Food Product Manufacturing,19480
"Public order, safety and regulatory services",11587
Food product manufacturing,2239
